l,l1,p,a,a1,u,u1,id
Euro-Schulen gGmbH,Euro-Akademie Leipzig Ergänzungsschule für Wirtschaft   (Schule in freier Trägerschaft),4103,"Leipzig, Rosa-Luxemburg-Straße 23",Rosa-Luxemburg-Straße 23 04103 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Euro-Schulen,http://jedeschule.de/SN-4452454-0,SN-4452454-0
Euro-Schulen gGmbH,Euro-Akademie Leipzig Ergänzungsschule für Wirtschaft   (Schule in freier Trägerschaft),4103,"Leipzig, Rosa-Luxemburg-Straße 23",Rosa-Luxemburg-Straße 23 04103 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Euro-Schulen,http://jedeschule.de/SN-4452454-0,SN-4452454-0
Designschule 1.0 und Designschule 2.0 GmbH,Designschule Leipzig Ergänzungsschule für Game Design   (Schule in freier Trägerschaft),4103,"Leipzig, Bauhofstraße 3",Bauhofstraße 3 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Designschule,http://jedeschule.de/SN-4452287-0,SN-4452287-0
Designschule 1.0 und Designschule 2.0 GmbH,Designschule Leipzig Ergänzungsschule für Game Design   (Schule in freier Trägerschaft),4103,"Leipzig, Bauhofstraße 3",Bauhofstraße 3 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Designschule,http://jedeschule.de/SN-4452287-0,SN-4452287-0
Designschule 1.0 und Designschule 2.0 GmbH,Designschule Leipzig  Ergänzungsschule für Modedesign    (Schule in freier Trägerschaft),4103,"Leipzig, Bauhofstraße 3",Bauhofstraße  3 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Designschule,http://jedeschule.de/SN-4452439-0,SN-4452439-0
Designschule 1.0 und Designschule 2.0 GmbH,Designschule Leipzig  Ergänzungsschule für Modedesign    (Schule in freier Trägerschaft),4103,"Leipzig, Bauhofstraße 3",Bauhofstraße  3 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Designschule,http://jedeschule.de/SN-4452439-0,SN-4452439-0
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-0,SN-4450235-0
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-0,SN-4450235-0
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-1,SN-4450235-1
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-1,SN-4450235-1
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-2,SN-4450235-2
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-2,SN-4450235-2
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-3,SN-4450235-3
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Goldschmidtstraße 20",Goldschmidtstraße 20 04103 Leipzig OT Zentrum-Südost,http://leipzig-data.de/Data/Schule/Henriette-Goldschmidt-Schule,http://jedeschule.de/SN-4450235-3,SN-4450235-3
"Freie Grundschule ""Clara Schumann"" Leipzig","Fachoberschule für Sozialwesen, Gestaltung, Technik sowie Wirtschaft und Verwaltung",4103,"Leipzig, Inselstraße 18",Inselstraße 20 04103 Leipzig OT Zentrum,http://leipzig-data.de/Data/Schule/Schumann-GS,http://jedeschule.de/SN-4450276-0,SN-4450276-0
"Freie Grundschule ""Clara Schumann"" Leipzig","Fachoberschule für Sozialwesen, Gestaltung, Technik sowie Wirtschaft und Verwaltung",4103,"Leipzig, Inselstraße 18",Inselstraße 20 04103 Leipzig OT Zentrum,http://leipzig-data.de/Data/Schule/Schumann-GS,http://jedeschule.de/SN-4450276-0,SN-4450276-0
Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Gutenbergplatz 4",Gutenbergplatz 8 04103 Leipzig OT Zentrum,http://leipzig-data.de/Data/Schule/Gutenberg-Schule,http://jedeschule.de/SN-4450110-0,SN-4450110-0
Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Gutenbergplatz 4",Gutenbergplatz 8 04103 Leipzig OT Zentrum,http://leipzig-data.de/Data/Schule/Gutenberg-Schule,http://jedeschule.de/SN-4450110-0,SN-4450110-0
Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig,4103,"Leipzig, Gutenbergplatz 4",Gutenbergplatz 8 04103 Leipzig OT Zentrum,http://leipzig-data.de/Data/Schule/Gutenberg-Schule,http://jedeschule.de/SN-4450110-1,SN-4450110-1
