u,l,a,i
http://leipzig-data.de/Data/Schule/Adler-GS,Grundschule am Adler,http://leipzig-data.de/Data/04229.Leipzig.Antonienstrasse.24,SN-4411849-0
http://leipzig-data.de/Data/Schule/BIP-Schule.GS,BIP-Kreativitätsgrundschule Leipzig,http://leipzig-data.de/Data/04347.Leipzig.TorgauerStrasse.114,SN-4412565-0
http://leipzig-data.de/Data/Schule/100-GS,100. Schule,http://leipzig-data.de/Data/04207.Leipzig.MiltitzerAllee.1,SN-4412300-0
http://leipzig-data.de/Data/Schule/157-GS,157. Schule,http://leipzig-data.de/Data/04179.Leipzig.Hans-Driesch-Strasse.41,SN-4412136-0
http://leipzig-data.de/Data/Schule/172-GS,172. Schule,http://leipzig-data.de/Data/04179.Leipzig.Priessnitzstrasse.19,SN-4412334-0
http://leipzig-data.de/Data/Schule/21-GS,21. Schule,http://leipzig-data.de/Data/04347.Leipzig.Stoeckelstrasse.45,SN-4412458-0
http://leipzig-data.de/Data/Schule/31-GS,31. Schule,http://leipzig-data.de/Data/04289.Leipzig.Franzosenallee.21,SN-4411922-0
http://leipzig-data.de/Data/Schule/39-GS,39. Schule,http://leipzig-data.de/Data/04159.Leipzig.Gustav-Kuehn-Strasse.1,SN-4412029-0
http://leipzig-data.de/Data/Schule/46-GS,46. Schule,http://leipzig-data.de/Data/04179.Leipzig.SaalfelderStrasse.29,SN-4412375-0
http://leipzig-data.de/Data/Schule/5-GS,Schule 5 im Stadtbezirk Mitte,http://leipzig-data.de/Data/04105.Leipzig.Eitingonstrasse.5,SN-4412714-0
http://leipzig-data.de/Data/Schule/60-GS,60. Schule,http://leipzig-data.de/Data/04249.Leipzig.Seumestrasse.93,SN-4412441-0
http://leipzig-data.de/Data/Schule/66-GS,66. Schule,http://leipzig-data.de/Data/04357.Leipzig.Rosenowstrasse.56,SN-4412367-0
http://leipzig-data.de/Data/Schule/74-GS,74. Schule,http://leipzig-data.de/Data/04318.Leipzig.Friedrich-Dittes-Strasse.23,SN-4412011-0
http://leipzig-data.de/Data/Schule/77-GS,77. Schule,http://leipzig-data.de/Data/04317.Leipzig.Riebeckstrasse.50,SN-4412342-0
http://leipzig-data.de/Data/Schule/8-GS,8. Schule,http://leipzig-data.de/Data/04279.Leipzig.Wincklerstrasse.3,SN-4412516-0
http://leipzig-data.de/Data/Schule/85-GS,85. Schule,http://leipzig-data.de/Data/04209.Leipzig.StuttgarterAllee.3,SN-4412474-0
